Date,Open,High,Low,Close,Adj Close,Volume
2021-02-10,106.779999,106.900002,104.930000,105.870003,99.044189,4293200
2021-02-11,106.120003,106.230003,105.029999,105.860001,99.034821,2976000
2021-02-12,105.739998,105.940002,104.720001,105.300003,98.510933,3169800
2021-02-16,104.879997,106.589996,104.699997,106.150002,99.306122,4928100
2021-02-17,105.110001,105.459999,104.150002,104.440002,98.122345,5733800
2021-02-18,103.779999,105.339996,103.410004,104.970001,98.620293,4098700
2021-02-19,104.750000,105.279999,103.220001,103.370003,97.117081,4128900
2021-02-22,102.989998,102.989998,101.750000,101.809998,95.651436,5211800
2021-02-23,103.339996,103.339996,99.930000,101.370003,95.238052,8740300
2021-02-24,101.160004,104.510002,100.599998,104.379997,98.065964,7542700
2021-02-25,104.000000,105.769997,103.110001,103.470001,97.211014,7534000
2021-02-26,104.150002,109.480003,103.680000,108.029999,101.495171,15122900
2021-03-01,108.599998,110.470001,106.540001,106.870003,100.405350,7930300
2021-03-02,107.309998,108.250000,105.820000,107.199997,100.715393,5016800
2021-03-03,106.940002,107.959999,106.120003,106.220001,99.794670,5313400
2021-03-04,106.260002,107.169998,103.849998,104.889999,98.545120,7211800
2021-03-05,106.059998,106.059998,102.750000,105.199997,98.836365,5559900
2021-03-08,104.800003,106.889999,104.230003,105.029999,98.676651,5119500
2021-03-09,106.279999,107.970001,105.830002,106.550003,100.104706,5510900
2021-03-10,107.220001,109.070000,106.959999,107.779999,101.260300,6077000
2021-03-11,108.410004,108.570000,107.260002,107.320000,100.828140,4670700
2021-03-12,107.419998,107.989998,106.580002,107.809998,101.288490,3356000
2021-03-15,107.889999,108.949997,107.059998,108.900002,102.312553,7107300
2021-03-16,110.570000,112.339996,109.889999,111.339996,104.604950,11376200
2021-03-17,111.309998,111.459999,108.930000,110.459999,103.778183,10128400
2021-03-18,109.279999,110.269997,107.500000,107.620003,101.110001,7813400
2021-03-19,108.349998,108.849998,105.830002,106.339996,99.907417,21452000
2021-03-22,106.400002,108.419998,106.000000,107.570000,101.062996,7605100
2021-03-23,107.739998,107.949997,105.669998,106.250000,99.822861,5657800
2021-03-24,106.629997,107.279999,104.940002,104.970001,98.620293,5731300
2021-03-25,105.010002,107.699997,104.059998,107.349998,100.856316,8149000
2021-03-26,107.250000,110.000000,107.180000,109.900002,103.252068,6167600
2021-03-29,109.010002,110.250000,106.589996,109.129997,102.528633,5167100
2021-03-30,108.419998,110.449997,108.279999,110.269997,103.599670,4552900
2021-03-31,110.330002,111.620003,109.190002,109.269997,102.660164,6478400
2021-04-01,110.059998,110.059998,108.199997,109.379997,102.763519,5793000
2021-04-05,109.910004,111.349998,109.870003,111.019997,104.304298,6913100
2021-04-06,111.379997,113.820000,111.099998,113.150002,106.305458,6745200
2021-04-07,112.910004,113.760002,112.650002,113.190002,106.343048,5629600
2021-04-08,113.650002,113.959999,112.680000,113.040001,106.202133,5011300
2021-04-09,112.910004,113.269997,111.970001,113.180000,106.333649,4114300
2021-04-12,113.019997,113.889999,112.769997,113.809998,106.925545,4707800
2021-04-13,113.779999,115.599998,113.680000,115.360001,108.381775,4607400
2021-04-14,115.220001,116.239998,114.720001,115.160004,108.193886,3994600
2021-04-15,115.099998,116.889999,114.779999,116.660004,109.603142,5079100
2021-04-16,117.820000,118.500000,116.940002,118.339996,111.181511,5777900
2021-04-19,118.169998,118.980003,117.040001,117.599998,110.486282,4889700
2021-04-20,116.959999,117.260002,115.349998,116.269997,109.236725,5662400
2021-04-21,116.089996,117.260002,115.860001,116.739998,109.678299,4397400
2021-04-22,116.870003,116.879997,115.230003,115.919998,108.907898,5744900
2021-04-23,116.019997,117.980003,115.839996,117.559998,110.448692,4555800
2021-04-26,116.949997,117.250000,115.059998,115.919998,108.907898,5924900
2021-04-27,115.669998,116.389999,115.269997,116.150002,109.124001,7260900
